No.,Source,Destination,Protocol,Length,Info,Arrival Time,Potential Drop
269972,Malicious IP 40,Non-Malicious IP 108,TCP,62,52283  >  5289 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 13:16,Yes
271799,Malicious IP 42,Non-Malicious IP 109,TCP,58,15091  >  2323 [SYN] Seq=0 Win=10467 Len=0,4/27/2020 13:17,Yes
272549,Malicious IP 6,Non-Malicious IP 110,TCP,62,56700  >  8443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460,4/27/2020 13:17,Yes
278492,Malicious IP 26,Non-Malicious IP 111,TCP,62,62910  >  6443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460,4/27/2020 13:20,Yes
279534,Malicious IP 39,Non-Malicious IP 112,TCP,62,60407  >  110 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 13:20,Yes
288042,Malicious IP 5,Non-Malicious IP 113,DNS,76,Standard query 0x34ef TXT VERSION.BIND,4/27/2020 13:24,Yes
288056,Malicious IP 40,Non-Malicious IP 114,NAT-PMP,50,External Address Request,4/27/2020 13:24,Yes
288320,Malicious IP 5,Non-Malicious IP 115,DNS,76,Standard query 0x34ef TXT VERSION.BIND,4/27/2020 13:24,Yes
290169,Malicious IP 36,Non-Malicious IP 116,TCP,62,10978  >  88 [SYN] Seq=0 Win=65535 Len=0 MSS=1460,4/27/2020 13:24,No
292534,Malicious IP 31,Non-Malicious IP 117,TCP,62,34247  >  30303 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 13:25,No
296777,Malicious IP 32,Non-Malicious IP 118,TCP,62,49466  >  20 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 13:27,No
299256,Malicious IP 24,Non-Malicious IP 119,TCP,62,49154  >  80 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 13:28,Yes
300846,Malicious IP 41,Non-Malicious IP 120,TCP,58,49368  >  5900 [SYN] Seq=0 Win=65535 Len=0,4/27/2020 13:29,Yes
301535,Malicious IP 10,Non-Malicious IP 121,MDNS,92,"Standard query 0x0000 PTR _services._dns-sd._udp.local, ""QM"" question",4/27/2020 13:29,No
303952,Malicious IP 8,Non-Malicious IP 122,TCP,62,34247  >  9002 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 13:30,Yes
311438,Malicious IP 34,Non-Malicious IP 123,TCP,62,53463  >  987 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 13:33,Yes
312013,Malicious IP 16,Non-Malicious IP 124,TCP,62,60269  >  8888 [SYN] Seq=0 Win=65535 Len=0 MSS=1460,4/27/2020 13:33,Yes
312889,Malicious IP 28,Non-Malicious IP 125,TCP,62,58723  >  5905 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 13:34,Yes
313123,Malicious IP 1,Non-Malicious IP 126,TCP,62,60578  >  2443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460,4/27/2020 13:34,Yes
315064,Malicious IP 8,Non-Malicious IP 127,TCP,62,60000  >  8443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460,4/27/2020 13:34,Yes
317735,Malicious IP 2,Non-Malicious IP 128,TCP,62,50473  >  3000 [SYN] Seq=0 Win=65535 Len=0 MSS=1460,4/27/2020 13:36,Yes
321515,Malicious IP 25,Non-Malicious IP 129,TCP,62,10978  >  88 [SYN] Seq=0 Win=65535 Len=0 MSS=1460,4/27/2020 13:37,Yes
323082,Malicious IP 18,Non-Malicious IP 130,TCP,62,56359  >  21 [SYN] Seq=0 Win=65535 Len=0 MSS=1460,4/27/2020 13:39,Yes
325194,Malicious IP 27,Non-Malicious IP 131,TCP,62,57593  >  80 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 13:39,Yes
325381,Malicious IP 32,Non-Malicious IP 132,TCP,62,51016  >  5907 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 13:40,No
327815,Malicious IP 22,Non-Malicious IP 133,TCP,62,63263  >  5916 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 13:40,Yes
329417,Malicious IP 2,Non-Malicious IP 134,TCP,62,34247  >  8333 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 13:41,Yes
331979,Malicious IP 7,Non-Malicious IP 135,TCP,62,64942  >  7443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460,4/27/2020 13:42,Yes
332188,Malicious IP 1,Non-Malicious IP 136,TCP,62,63912  >  2222 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 13:42,Yes
332951,Malicious IP 6,Non-Malicious IP 137,SNMP,86,get-next-request 1.3.6.1.2.1,4/27/2020 13:42,Yes
333031,Malicious IP 40,Non-Malicious IP 138,TCP,62,60273  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460,4/27/2020 13:42,Yes
335949,Malicious IP 26,Non-Malicious IP 139,TCP,62,51385  >  110 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 13:43,Yes
338611,Malicious IP 41,Non-Malicious IP 140,TCP,58,56108  >  5900 [SYN] Seq=0 Win=65535 Len=0,4/27/2020 13:44,Yes
343125,Malicious IP 16,Non-Malicious IP 141,TCP,62,34247  >  8333 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 13:46,Yes
343238,Malicious IP 24,Non-Malicious IP 142,TCP,62,34247  >  2002 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 13:46,Yes
349455,Malicious IP 10,Non-Malicious IP 143,UDP,110,60732  >  17185 Len=64,4/27/2020 13:49,No
349470,Malicious IP 5,Non-Malicious IP 144,SNMP,86,get-next-request 1.3.6.1.2.1,4/27/2020 13:49,Yes
350788,Malicious IP 25,Non-Malicious IP 145,TCP,62,61609  >  990 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 13:49,Yes
352822,Malicious IP 6,Non-Malicious IP 146,TCP,62,34247  >  30303 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 13:50,Yes
357160,Malicious IP 24,Non-Malicious IP 147,TCP,62,63680  >  9983 [SYN] Seq=0 Win=65535 Len=0 MSS=1460,4/27/2020 13:52,Yes
358004,Malicious IP 34,Non-Malicious IP 148,TCP,62,59338  >  1025 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 13:52,Yes
359263,Malicious IP 14,Non-Malicious IP 149,TCP,62,57987  >  5289 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 13:53,Yes
360412,Malicious IP 29,Non-Malicious IP 150,TCP,62,55425  >  2087 [SYN] Seq=0 Win=65535 Len=0 MSS=1460,4/27/2020 13:53,Yes
361105,Malicious IP 14,Non-Malicious IP 151,TCP,62,57987  >  5289 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 13:53,Yes
363329,Malicious IP 12,Non-Malicious IP 152,TCP,62,53948  >  3388 [SYN] Seq=0 Win=65535 Len=0 MSS=1460,4/27/2020 13:54,Yes
363757,Malicious IP 19,Non-Malicious IP 153,TCP,62,56805  >  2323 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 13:55,Yes
364007,Malicious IP 2,Non-Malicious IP 154,TCP,62,62204  >  50070 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 13:55,Yes
364361,Malicious IP 12,Non-Malicious IP 155,TCP,62,53948  >  3388 [SYN] Seq=0 Win=65535 Len=0 MSS=1460,4/27/2020 13:55,Yes
366492,Malicious IP 35,Non-Malicious IP 156,TCP,62,55832  >  2121 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 13:56,Yes
367335,Malicious IP 17,Non-Malicious IP 157,TCP,62,64108  >  37777 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 13:56,Yes
367422,Malicious IP 38,Non-Malicious IP 158,TCP,62,34247  >  3333 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 13:56,No
371172,Malicious IP 23,Non-Malicious IP 159,TCP,62,59645  >  2087 [SYN] Seq=0 Win=65535 Len=0 MSS=1460,4/27/2020 13:58,Yes
371750,Malicious IP 26,Non-Malicious IP 160,TCP,62,65507  >  995 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 13:58,Yes
372081,Malicious IP 13,Non-Malicious IP 161,TCP,62,58712  >  3388 [SYN] Seq=0 Win=65535 Len=0 MSS=1460,4/27/2020 13:58,Yes
375371,Malicious IP 40,Non-Malicious IP 162,TCP,62,10978  >  9595 [SYN] Seq=0 Win=65535 Len=0 MSS=1460,4/27/2020 13:59,Yes
